position,name,year,rating
88,Star Wars: Episode VI - Return of the Jedi,(1983),8.3
89,2001: A Space Odyssey,(1968),8.3
90,Idi i smotri,(1985),8.3
91,Reservoir Dogs,(1992),8.3
92,Taare Zameen Par,(2007),8.3
93,Vertigo,(1958),8.3
94,M - Eine Stadt sucht einen Mörder,(1931),8.3
95,Citizen Kane,(1941),8.3
96,Jagten,(2012),8.3
97,Requiem for a Dream,(2000),8.3
98,Singin' in the Rain,(1952),8.3
99,North by Northwest,(1959),8.3
100,Eternal Sunshine of the Spotless Mind,(2004),8.3
101,Ikiru,(1952),8.3
102,Ladri di biciclette,(1948),8.3
103,Lawrence of Arabia,(1962),8.3
104,The Kid,(1921),8.2
105,Full Metal Jacket,(1987),8.2
106,Dangal,(2016),8.2
107,Incendies,(2010),8.2
108,The Apartment,(1960),8.2
109,The Father,(2020),8.2
110,Double Indemnity,(1944),8.2
111,Metropolis,(1927),8.2
112,Taxi Driver,(1976),8.2
113,A Clockwork Orange,(1971),8.2
114,Jodaeiye Nader az Simin,(2011),8.2
115,The Sting,(1973),8.2
116,Scarface,(1983),8.2
117,Snatch,(2000),8.2
118,1917,(2019),8.2
119,Le fabuleux destin d'Amélie Poulain,(2001),8.2
120,Pather Panchali,(1955),8.2
121,To Kill a Mockingbird,(1962),8.2
122,Toy Story 3,(2010),8.2
123,Per qualche dollaro in più,(1965),8.2
124,Up,(2009),8.2
125,Indiana Jones and the Last Crusade,(1989),8.2
126,Heat,(1995),8.2
127,L.A. Confidential,(1997),8.2
128,Yôjinbô,(1961),8.2
129,Die Hard,(1988),8.2
130,Ran,(1985),8.2
131,Rashômon,(1950),8.2
132,Green Book,(2018),8.2
133,Der Untergang,(2004),8.2
134,Monty Python and the Holy Grail,(1975),8.2
135,All About Eve,(1950),8.2
136,Some Like It Hot,(1959),8.2
137,Batman Begins,(2005),8.2
138,Unforgiven,(1992),8.2
139,Bacheha-Ye aseman,(1997),8.2
140,Jai Bhim,(2021),8.2
141,Hauru no ugoku shiro,(2004),8.2
142,The Wolf of Wall Street,(2013),8.2
143,Judgment at Nuremberg,(1961),8.2
144,There Will Be Blood,(2007),8.2
145,The Great Escape,(1963),8.2
146,Casino,(1995),8.2
147,The Treasure of the Sierra Madre,(1948),8.2
148,Pan's Labyrinth,(2006),8.1
149,A Beautiful Mind,(2001),8.1
150,El secreto de sus ojos,(2009),8.1
151,Raging Bull,(1980),8.1
152,Chinatown,(1974),8.1
153,Tonari no Totoro,(1988),8.1
154,Dersu Uzala,(1975),8.1
155,Shutter Island,(2010),8.1
156,"Lock, Stock and Two Smoking Barrels",(1998),8.1
157,No Country for Old Men,(2007),8.1
158,Dial M for Murder,(1954),8.1
159,The Gold Rush,(1925),8.1
160,Klaus,(2019),8.1
161,The Thing,(1982),8.1
162,"Three Billboards Outside Ebbing, Missouri",(2017),8.1
163,Det sjunde inseglet,(1957),8.1
164,The Elephant Man,(1980),8.1
165,The Sixth Sense,(1999),8.1
166,The Truman Show,(1998),8.1
167,Jurassic Park,(1993),8.1
168,Smultronstället,(1957),8.1
169,The Third Man,(1949),8.1
170,Salinui chueok,(2003),8.1
171,V for Vendetta,(2005),8.1
172,Blade Runner,(1982),8.1
173,Trainspotting,(1996),8.1
174,Inside Out,(2015),8.1
175,The Bridge on the River Kwai,(1957),8.1
176,Fargo,(1996),8.1
177,Finding Nemo,(2003),8.1
178,Warrior,(2011),8.1
179,Kill Bill: Vol. 1,(2003),8.1
180,Gone with the Wind,(1939),8.1
181,Tôkyô monogatari,(1953),8.1
182,On the Waterfront,(1954),8.1
183,Dune: Part One,(2021),8.1
184,Babam ve Oglum,(2005),8.1
185,Relatos salvajes,(2014),8.1
186,Stalker,(1979),8.1
187,Prisoners,(2013),8.1
188,The Deer Hunter,(1978),8.1
189,The Grand Budapest Hotel,(2014),8.1
190,The General,(1926),8.1
191,Sherlock Jr.,(1924),8.1
192,Gran Torino,(2008),8.1
193,Persona,(1966),8.1
194,Z,(1969),8.1
195,Before Sunrise,(1995),8.1
196,Mary and Max.,(2009),8.1
197,Catch Me If You Can,(2002),8.1
198,Mr. Smith Goes to Washington,(1939),8.1
199,In the Name of the Father,(1993),8.1
200,Barry Lyndon,(1975),8.1
201,Room,(2015),8.1
202,Gone Girl,(2014),8.1
203,Hacksaw Ridge,(2016),8.1
204,La passion de Jeanne d'Arc,(1928),8.1
205,Andhadhun,(2018),8.1
206,Ford v Ferrari,(2019),8.1
207,12 Years a Slave,(2013),8.1
208,To Be or Not to Be,(1942),8.1
209,The Big Lebowski,(1998),8.1
210,Dead Poets Society,(1989),8.1
211,How to Train Your Dragon,(2010),8.1
212,Ben-Hur,(1959),8.1
213,Mad Max: Fury Road,(2015),8.1
214,Höstsonaten,(1978),8.1
215,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
216,Million Dollar Baby,(2004),8.1
217,Ah-ga-ssi,(2016),8.1
218,Le salaire de la peur,(1953),8.1
219,Stand by Me,(1986),8.1
220,Network,(1976),8.1
221,Logan,(2017),8.1
222,La haine,(1995),8.0
223,Cool Hand Luke,(1967),8.0
224,Hachi: A Dog's Tale,(2009),8.0
225,Koe no katachi,(2016),8.0
226,Les quatre cents coups,(1959),8.0
227,Gangs of Wasseypur,(2012),8.0
228,Platoon,(1986),8.0
229,Spotlight,(2015),8.0
230,"Monsters, Inc.",(2001),8.0
231,Rebecca,(1940),8.0
232,Life of Brian,(1979),8.0
233,Fa yeung nin wah,(2000),8.0
234,Hotel Rwanda,(2004),8.0
235,Eskiya,(1996),8.0
236,Rush,(2013),8.0
237,Into the Wild,(2007),8.0
238,Rocky,(1976),8.0
239,Amores perros,(2000),8.0
240,Kaze no tani no Naushika,(1984),8.0
241,It Happened One Night,(1934),8.0
242,Before Sunset,(2004),8.0
243,Fanny och Alexander,(1982),8.0
244,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),8.0
245,Andrei Rublev,(1966),8.0
246,La battaglia di Algeri,(1966),8.0
247,Le notti di Cabiria,(1957),8.0
248,The Princess Bride,(1987),8.0
249,Ratsasan,(2018),8.0
250,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),8.0
